thread,first_touch,compact,balanced,scattered,cnv_step,phi_final,matched,runtime_1,runtime_2,runtime_3,runtime_4,runtime_5,runtime_avg
28,False,True,False,False,826,14598.31,True,3.402626,3.453746,3.157759,3.139316,3.124911,3.2556716000000003
30,False,True,False,False,826,14598.31,True,3.060933,2.721818,2.813586,2.740053,2.713857,2.8100494
56,False,True,False,False,826,14598.31,True,2.027331,1.970791,1.940494,2.008578,1.998978,1.9892344
84,False,True,False,False,826,14598.31,True,2.469844,2.3652,2.463553,2.500221,2.456004,2.4509644
112,False,True,False,False,826,14598.31,True,2.344626,2.266549,2.24075,2.269004,2.305325,2.2852508
36,False,False,True,False,826,14598.31,True,2.107448,2.110079,2.120145,2.117684,2.0955,2.1101712
36,False,True,False,False,826,14598.31,True,2.299092,2.250465,2.322524,2.246231,2.272671,2.2781966
112,False,False,True,False,826,14598.31,True,2.187811,2.21164,2.217558,2.28255,2.241848,2.2282814
84,False,False,True,False,826,14598.31,True,2.344067,2.83989,2.788218,2.711148,2.73521,2.6837066
56,False,False,True,False,826,14598.31,True,1.962289,1.991177,1.942747,2.010493,1.97097,1.9755352
30,False,False,True,False,826,14598.31,True,2.167176,2.170036,2.214809,2.140879,2.171556,2.1728912
28,False,False,True,False,826,14598.31,True,2.205322,2.189255,2.17876,2.185409,2.200246,2.1917984
32,False,True,False,False,826,14598.31,True,3.084274,2.652623,2.66011,3.010809,2.588736,2.7993104000000004
34,False,True,False,False,826,14598.31,True,2.552923,2.512889,2.451333,2.729263,2.449618,2.5392052
38,False,True,False,False,826,14598.31,True,2.308842,2.30991,2.298476,2.32597,2.36157,2.3209536
42,False,True,False,False,826,14598.31,True,2.297768,2.156368,2.174822,2.126626,2.334285,2.2179738
46,False,True,False,False,826,14598.31,True,2.131698,2.132464,2.171677,2.09181,2.176213,2.1407724000000004
52,False,True,False,False,826,14598.31,True,2.001168,2.055659,1.994893,2.074916,2.004734,2.026274
