thread,first_touch,compact,balanced,scattered,cnv_step,phi_final,matched,runtime_1,runtime_2,runtime_3,runtime_4,runtime_5,runtime_avg
2,False,False,False,True,826,14598.31,True,15.29076,15.27264,15.55019,15.42347,15.35292,15.377996
4,False,False,False,True,826,14598.31,True,8.094475,8.251851,8.172144,8.071005,8.109877,8.139870399999998
6,False,False,False,True,826,14598.31,True,5.696318,5.693377,5.665661,5.703872,5.691965,5.6902386
8,False,False,False,True,826,14598.31,True,4.330424,4.390213,4.374191,4.38716,4.415914,4.3795804
10,False,False,False,True,826,14598.31,True,3.649142,3.659195,3.639218,3.60985,3.650046,3.6414902
12,False,False,False,True,826,14598.31,True,3.29381,3.202245,3.212132,3.19884,3.235012,3.2284078000000003
14,False,False,False,True,826,14598.31,True,2.893615,2.896727,2.851133,2.874726,2.880572,2.8793546
16,False,False,False,True,826,14598.31,True,2.732242,2.726435,2.732316,2.722579,2.726681,2.7280505999999995
18,False,False,False,True,826,14598.31,True,2.592784,2.617512,2.585692,2.619219,2.594836,2.6020086
20,False,False,False,True,826,14598.31,True,2.557554,2.554415,2.575768,2.544129,2.524656,2.5513044
22,False,False,False,True,826,14598.31,True,2.566319,2.51307,2.504992,2.480703,2.552273,2.5234714
24,False,False,False,True,826,14598.31,True,2.528791,2.600546,2.533772,2.487885,2.416733,2.5135453999999995
26,False,False,False,True,826,14598.31,True,2.400959,2.419717,2.418928,2.433607,2.455934,2.425829
28,False,False,False,True,826,14598.31,True,2.380283,2.352646,2.469894,2.388001,2.431832,2.4045312
30,False,False,False,True,826,14598.31,True,2.414895,2.382567,2.342906,2.364841,2.396984,2.3804386
32,False,False,False,True,826,14598.31,True,2.371157,2.386491,2.296157,2.351766,2.392638,2.3596418
34,False,False,False,True,826,14598.31,True,2.365987,2.364171,2.387259,2.362763,2.333414,2.3627188
36,False,False,False,True,826,14598.31,True,2.406557,2.328196,2.391805,2.28289,2.359981,2.3538858
38,False,False,False,True,826,14598.31,True,2.333263,2.321672,2.299271,2.337577,2.355981,2.3295528
40,False,False,False,True,826,14598.31,True,2.32855,2.367631,2.3185,2.323557,2.334897,2.334627
42,False,False,False,True,826,14598.31,True,2.341055,2.312938,2.405519,2.28561,2.330576,2.3351396
44,False,False,False,True,826,14598.31,True,2.36115,2.346012,2.28331,2.310759,2.289147,2.3180756
46,False,False,False,True,826,14598.31,True,2.313631,2.37486,2.301826,2.309821,2.326769,2.3253814000000004
48,False,False,False,True,826,14598.31,True,2.401899,2.334166,2.370713,2.319669,2.302345,2.3457584
50,False,False,False,True,826,14598.31,True,2.317988,2.33455,2.238004,2.270196,2.289681,2.2900838
52,False,False,False,True,826,14598.31,True,2.316862,2.352347,2.34787,2.327017,2.355176,2.3398544
54,False,False,False,True,826,14598.31,True,2.413075,2.358055,2.441754,2.390472,2.477686,2.4162083999999995
56,False,False,False,True,826,14598.31,True,2.48757,2.402578,2.451667,2.600144,2.485515,2.4854948
2,False,False,True,False,826,14598.31,True,15.36325,15.60432,15.30867,15.24004,15.32513,15.368282
4,False,False,True,False,826,14598.31,True,7.966267,8.135826,8.119244,7.973055,7.92375,8.0236284
6,False,False,True,False,826,14598.31,True,5.627995,5.573481,5.598598,5.593462,5.581187,5.5949446
8,False,False,True,False,826,14598.31,True,4.311652,4.367184,4.317702,4.394401,4.346358,4.347459400000001
10,False,False,True,False,826,14598.31,True,3.551385,3.543373,3.532672,3.524136,3.557065,3.5417262000000003
12,False,False,True,False,826,14598.31,True,3.071774,3.030536,3.063352,3.096455,3.05358,3.0631394000000003
14,False,False,True,False,826,14598.31,True,2.777234,2.792037,2.767197,2.843738,2.763281,2.7886974
16,False,False,True,False,826,14598.31,True,2.586979,2.581084,2.580849,2.614897,2.580335,2.5888288
18,False,False,True,False,826,14598.31,True,2.453873,2.40426,2.423293,2.469229,2.436212,2.4373734
20,False,False,True,False,826,14598.31,True,2.365691,2.35231,2.347128,2.379695,2.379198,2.3648044
22,False,False,True,False,826,14598.31,True,2.314719,2.292174,2.317727,2.310382,2.311077,2.3092158000000005
24,False,False,True,False,826,14598.31,True,2.283465,2.251208,2.241981,2.252861,2.280443,2.2619916
26,False,False,True,False,826,14598.31,True,2.233135,2.218014,2.196727,2.18829,2.219493,2.2111318
28,False,False,True,False,826,14598.31,True,2.198714,2.20144,2.194894,2.158698,2.181078,2.1869648
30,False,False,True,False,826,14598.31,True,2.144811,2.140415,2.17718,2.169039,2.177052,2.1616994
32,False,False,True,False,826,14598.31,True,2.128752,2.145246,2.120334,2.155148,2.158715,2.141639
34,False,False,True,False,826,14598.31,True,2.114354,2.127926,2.128486,2.127804,2.126791,2.1250721999999995
36,False,False,True,False,826,14598.31,True,2.067602,2.142212,2.082719,2.079202,2.145482,2.1034434
